Project Name,Project Amount,Project Platform,Interest Rate,Project Status,Project Siren,Project Due Date,Project Type,Project Periodicity,Note Plateforme,funded
Industrie / mécanique - RILLIEUX LA PAPE,65000.0,unilend,7.8,Clos,,11/03/2020,amortizing,monthly,,
BECA,110001.0,pretup,8.5,Clos,850923723,07/03/2020,amortizing,monthly,C,
SARL AW RENOVATION,20000.0,pretup,8.5,Clos,831361548,14/02/2020,amortizing,monthly,C,
Novae Aerospace Industry #2,350000.0,lendix,6.5,Clos,530866177,28/01/2020,amortizing,monthly,B,
Ouverture d’un restaurant Pita Pit à La Rochelle,28000.0,lesentrepreteurs,9.5,Clos,809804370,31/01/2020,amortizing,monthly,D,
New Office Centre Beheer B.V.,1500000.0,lendix,3.5,Clos,34023870,27/12/2019,amortizing,monthly,A,
Ouverture d'un restaurant Basilic&Co à Paris XI,50000.0,lesentrepreteurs,9.0,Clos,879453033,16/01/2020,amortizing,monthly,D,
Saint Jean Industries #4,2100000.0,lendix,5.5,Clos,395047426,24/12/2019,amortizing,monthly,B,
V.G. Pubblicità,500000.0,lendix,6.5,Clos,11484390155,20/12/2019,amortizing,monthly,B,
Jolly Stampi,200000.0,lendix,6.9,Clos,00511250177,19/12/2019,amortizing,monthly,C,
Hôtellerie - VIEUX PORT,75000.0,unilend,8.0,Clos,453774762,10/12/2019,amortizing,monthly,3,
Doresse Bertrand Michel,75017.0,pretup,8.5,Clos,453774762,09/12/2019,amortizing,monthly,C,
ALPHA DEMENAGEMENTS,128500.0,credit.fr,5.9,Clos,442422085,09/12/2019,amortizing,monthly,B,
ISOL BEKA,150000.0,pretup,8.5,Clos,535123723,09/12/2019,amortizing,monthly,C,
CinéSkills by 15 Production,200000.0,myoptions,8.5,En cours,751120288,09/12/2019,amortizing,monthly,8,
Ouverture d'un nouveau restaurant à Lyon,100000.0,lesentrepreteurs,8.5,Clos,830021309,17/12/2019,amortizing,monthly,C,
ODIWI,100000.0,myoptions,8.0,En cours,750787061,17/12/2019,amortizing,monthly,8,
ENERLIS,1000000.0,credit.fr,4.9,Clos,798562450,19/11/2019,amortizing,monthly,B+,
FINANCIERE FAMILIALE LEVYFVE FFL,700000.0,credit.fr,5.3,Clos,812564276,18/11/2019,amortizing,monthly,B,
BCBJ,70000.0,credit.fr,5.9,Clos,531859346,30/10/2019,amortizing,monthly,B,
MT 15,50000.0,credit.fr,5.9,Clos,801681149,29/10/2019,amortizing,monthly,B,
"Service, conseil ou assurances - NANTERRE",100000.0,unilend,7.6,Clos,533115556,18/10/2019,amortizing,monthly,3.5,
CIE GENERALE DE NETTOYAGE,1030000.0,credit.fr,4.9,Clos,341484822,24/10/2019,amortizing,monthly,B+,
SMOKE ENJOY,20000.0,credit.fr,6.6,Clos,794081208,09/10/2019,amortizing,monthly,C+,
AMS EVENEMENTS,250000.0,credit.fr,5.9,Clos,417735263,09/10/2019,amortizing,monthly,B,
TERRE D'OPALE,250000.0,credit.fr,6.9,Clos,750660797,11/10/2019,amortizing,monthly,C+,
CABINET LETORT,90000.0,credit.fr,5.9,Clos,495176737,08/10/2019,amortizing,monthly,B,
BB 59,40000.0,pretup,8.75,Clos,853471936,03/10/2019,amortizing,monthly,C,
Georeso,32000.0,lendix,5.75,Clos,527549067,30/09/2019,amortizing,monthly,C,
NOREILS FINANCEMENT,45000.0,credit.fr,6.6,Clos,853794998,30/09/2019,amortizing,monthly,C+,
CHACAPART,30000.0,credit.fr,6.9,Clos,437669179,18/09/2019,amortizing,monthly,C+,
DEKACOM,93000.0,credit.fr,5.9,Clos,482116548,02/09/2019,amortizing,monthly,B,
AFRA VOYAGES,76020.0,pretup,8.5,Clos,418681474,03/09/2019,amortizing,monthly,C,
"Service, conseil et assurances - PARIS 10",82500.0,unilend,8.4,Clos,418681474,04/09/2019,amortizing,monthly,3.5,
Baraka Club de Viatges,103000.0,lendix,6.75,Clos,B61456729,19/07/2019,amortizing,monthly,C,
Zoko Zahara,156000.0,lendix,4.9,Clos,B72346059,17/07/2019,amortizing,monthly,B+,
Samen Vaardig B.V.,60000.0,lendix,5.95,Clos,64375014,09/07/2019,amortizing,monthly,B,
CLEAN PRESSING FLANDRE,50000.0,credit.fr,7.9,Clos,813490117,26/06/2019,amortizing,monthly,C,
Buran Operadora,2000000.0,lendix,6.25,Clos,B98735517,30/06/2019,amortizing,monthly,B,
Wereso,100000.0,bolden,9.0,Clos,798031357,01/06/2019,amortizing,monthly,D,
Manufactura Moderna de Metales,1500000.0,lendix,6.0,Clos,A08509937,23/05/2019,amortizing,monthly,B,
Due Torri,493000.0,lendix,6.45,Clos,794259283,10/05/2019,amortizing,monthly,B,
AB Custom Transport & Logistics,120000.0,lendix,6.1,Clos,B64430937,06/05/2019,amortizing,monthly,B,
Italstampi,48000.0,lendix,6.5,Clos,03413100987,03/05/2019,amortizing,monthly,C,
Emmetre,2100000.0,lendix,6.0,Clos,01818290122,24/04/2019,delayed,monthly,B+,
CityZen Mobility,250000.0,investbook,10.5,Clos,797581980,03/04/2019,amortizing,monthly,,
Sicam Srl,750000.0,lendix,4.6,Clos,01445990359,15/04/2019,amortizing,monthly,B+,
Interior Design & Immobilier,40018.0,pretup,8.5,Clos,823144795,01/04/2019,amortizing,monthly,C,
Sirio #03,900000.0,lendix,5.35,Clos,04142890377,27/03/2019,amortizing,monthly,B,
COMPAGNIE DE CONSTRUCTION,475000.0,credit.fr,4.9,Clos,439206764,26/03/2019,amortizing,monthly,B+,
COMPAGNIE DE CONSTRUCTION,1125000.0,credit.fr,5.5,Clos,439206764,29/03/2019,amortizing,monthly,B+,
Développement commercial le Loft,50000.0,lesentrepreteurs,8.5,Clos,524896206,16/03/2019,amortizing,monthly,D,
Orchid Création #5,730000.0,lendix,5.5,Clos,539482356,28/02/2019,amortizing,monthly,B,
