Project Name,Project Amount,Project Platform,Interest Rate,Project Status,Project Siren,Project Duration,Project Due Date,Project Type,Project Periodicity,Note Plateforme,Project Comment
Sjouwenman Transport,470000.0,lendix,8.8,Clos,75685736,48,10/04/2023,amortizing,monthly,B+,reimbursing
Htorres Cys 2004,105000.0,lendix,11.2,Clos,B73429466,36,11/04/2023,amortizing,monthly,C,reimbursing
Nanterre - Opération Gambetta,2250000.0,wesharebonds,9.0,Clos,891174534,24,03/04/2023,amortizing,monthly,,reimbursing
CONERSOL,200010.0,pretup,9.25,Clos,518750294,18,16/04/2023,amortizing,monthly,C+,reimbursing
Kenbon,200000.0,lendix,8.8,Clos,811409663,60,10/04/2023,amortizing,monthly,B,reimbursing
Opération Zadig,4500000.0,enerfip,6.5,Clos,818030421,12,30/04/2023,amortizing,monthly,,reimbursing
La Celle-Saint-Cyr,150000.0,enerfip,7.0,Clos,897657193,24,25/05/2023,amortizing,monthly,,reimbursing
Saphire Complete Training Concepts  #2,370000.0,lendix,7.5,Clos,24382271,60,05/04/2023,amortizing,monthly,B,reimbursing
Autobedrijf Wegman,55000.0,lendix,7.5,Clos,65106873,60,05/04/2023,amortizing,monthly,B,reimbursing
Vcompany,96000.0,lendix,9.3,Clos,62732498,60,05/04/2023,amortizing,monthly,C,reimbursing
L'Amusoir,136000.0,lendix,8.3,Clos,829046556,60,06/04/2023,amortizing,monthly,B,reimbursing
Addixo #2,350000.0,lendix,7.3,Clos,825029853,48,31/03/2023,amortizing,monthly,A,reimbursing
Club Deal,210000.0,wesharebonds,10.0,Clos,,12,28/03/2023,amortizing,monthly,,reimbursing
Lynk Agency,20000.0,lendix,8.9,Clos,884599739,24,06/04/2023,amortizing,monthly,C-,reimbursing
Feniks,15000.0,lendix,10.5,Clos,834630949,24,06/04/2023,amortizing,monthly,C-,reimbursing
Club Deal,7720000.0,wesharebonds,10.0,Clos,,12,28/03/2023,amortizing,monthly,,reimbursing
Accueil Collections Xavier Martinaud,40000.0,lendix,8.9,Clos,822705885,36,31/03/2023,amortizing,monthly,C,reimbursing
SELARL Docteur Arnaud #2,60000.0,lendix,8.2,Clos,507825867,36,05/04/2023,amortizing,monthly,B,reimbursing
Gastronomia Longhitano,190000.0,lendix,7.5,Clos,77612663,60,31/03/2023,amortizing,monthly,C,reimbursing
Hurley 999  #2,275000.0,lendix,9.7,Clos,B63209084,48,04/04/2023,amortizing,monthly,B,reimbursing
R.M Invest,800000.0,lendix,7.2,Clos,833752439,48,31/03/2023,amortizing,monthly,B+,reimbursing
Atelier Phare #2,100000.0,lendix,8.1,Clos,750704454,60,31/03/2023,amortizing,monthly,B,reimbursing
Buena Vida Supercars,375000.0,lendix,7.1,Clos,73511099,48,30/03/2023,amortizing,monthly,B,reimbursing
Whba,350000.0,lendix,7.3,Clos,88926761,60,30/03/2023,amortizing,monthly,B,reimbursing
Capelse Transportonderneming,150000.0,lendix,9.7,Clos,18111781,60,30/03/2023,amortizing,monthly,C,reimbursing
2L Resto,188000.0,lendix,8.3,Clos,825195308,60,30/03/2023,amortizing,monthly,B,reimbursing
Hamming Van Seventer,105000.0,lendix,7.5,Clos,02053144,60,29/03/2023,amortizing,monthly,C,reimbursing
Vauban Store #2,300000.0,lendix,8.7,Clos,848380275,60,30/03/2023,amortizing,monthly,B,reimbursing
Bagnoles,1175000.0,lendix,8.3,Clos,73757667,84,27/03/2023,amortizing,monthly,B,reimbursing
Refinancement de factures commerciales Folhomee lot 24,50900.0,lesentrepreteurs,7.0,Clos,825211428,12,30/03/2023,amortizing,monthly,B,reimbursing
Sia Trading,25000.0,lendix,8.9,Clos,890609365,24,30/03/2023,amortizing,monthly,C-,reimbursing
UNIT-e Tranche 2,2500000.0,enerfip,7.25,Clos,332346709,36,11/04/2023,amortizing,monthly,,reimbursing
SAS AMBITION ENERGIES RENOUVELABLES,160000.0,pretup,9.25,Clos,412521619,24,24/03/2023,amortizing,monthly,B-,reimbursing
Opération de marchand de biens rue Dormoy à Châteauneuf-les-Martigues,174000.0,lesentrepreteurs,10.0,Clos,948602941,24,17/04/2023,amortizing,monthly,B,reimbursing
Keko #5,450000.0,lendix,7.8,Clos,507946770,36,27/03/2023,amortizing,monthly,B,reimbursing
Yownid,320000.0,lendix,7.5,Clos,51443090,60,27/03/2023,amortizing,monthly,C,reimbursing
Aksi Automatisering,320000.0,lendix,7.3,Clos,02089292,60,27/03/2023,amortizing,monthly,B,reimbursing
Lotissement de 53 lots situés Le Conardel à Saint-Benoit tranche 3,200000.0,lesentrepreteurs,8.0,Clos,912933710,18,31/03/2023,amortizing,monthly,A,reimbursing
Club Deal,550000.0,wesharebonds,11.0,Clos,,2,19/03/2023,amortizing,monthly,,reimbursing
Pharmacie Cassar,200000.0,lendix,8.1,Clos,447705542,48,27/03/2023,amortizing,monthly,B,reimbursing
Financement d'un hélicoptère destiné à la location,170000.0,lesentrepreteurs,7.0,Clos,948151196,36,17/04/2023,amortizing,monthly,A,reimbursing
Edmmond & Co Shop Sl.,105000.0,lendix,10.9,Clos,B86950987,24,22/03/2023,amortizing,monthly,C,reimbursing
M2S SYSTEM,200000.0,pretup,9.25,Clos,503519316,24,27/03/2023,amortizing,monthly,B-,reimbursing
Spring Services Netherlands,525000.0,lendix,7.0,Clos,83173722,36,23/03/2023,amortizing,monthly,B,reimbursing
RenovFip,500000.0,enerfip,6.5,Clos,820805125,36,31/03/2023,amortizing,monthly,,reimbursing
Les Vergers De Fouillas,1000000.0,lendopolis,5.25,Clos,902105816,18,22/03/2023,amortizing,monthly,,reimbursing
Aliansact France,20000.0,lendix,8.9,Clos,832019608,24,27/03/2023,amortizing,monthly,C-,reimbursing
Double T Promotion,349910.0,pretup,10.0,Clos,850834847,18,21/03/2023,amortizing,monthly,B-,reimbursing
Stage P,30000.0,lendix,7.9,Clos,909055170,24,24/03/2023,amortizing,monthly,C-,reimbursing
GDS MEDICAL,200008.0,pretup,9.25,Clos,431633783,24,16/03/2023,amortizing,monthly,B-,reimbursing
LOVE SAOL,18018.0,pretup,8.5,Clos,922416425,24,16/03/2023,amortizing,monthly,C+,reimbursing
Paris 5e - Opération Gay Lussac,520000.0,wesharebonds,8.5,Clos,908569569,12,13/03/2023,amortizing,monthly,,reimbursing
Plm,140000.0,lendix,9.0,Clos,532283207,36,22/03/2023,amortizing,monthly,C,reimbursing
De Hypotheker Den Haag Valeriusstraat,103000.0,lendix,9.7,Clos,69937788,60,17/03/2023,amortizing,monthly,C,reimbursing
Mars,1010000.0,enerfip,6.5,Clos,902633726,36,06/04/2023,amortizing,monthly,,reimbursing
Atq Quimyser,75000.0,lendix,9.7,Clos,B96594114,36,19/03/2023,amortizing,monthly,B,reimbursing
S.O.S Moteur #3,94000.0,lendix,8.8,Clos,528539133,60,17/03/2023,amortizing,monthly,B,reimbursing
Transformation d'un bâti existant en bureaux à Dinan,435000.0,lesentrepreteurs,9.0,Clos,841937337,12,31/03/2023,amortizing,monthly,B,reimbursing
SAS DEL'CORPORATION,85007.0,pretup,9.5,Clos,530917392,24,07/03/2023,amortizing,monthly,C+,reimbursing
